TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
DET,29,58,28,30,34.0,21.4,7.5,17.2,43.8,1.9,5.6,34.5,4.5,5.7,78.5,1.3,6.1,7.4,5.8,2.8,0.7,0.3,2.4,39.1,16,3,1.0
POR,26,81,48,33,36.1,21.4,8.2,18.6,44.3,2.3,5.9,39.7,2.6,3.1,83.6,0.7,3.3,4.0,3.4,1.9,1.0,0.4,2.1,33.5,1,0,1.5
MIN,22,82,47,35,35.6,21.3,7.8,14.3,54.5,1.5,3.5,42.1,4.2,4.9,85.8,2.9,9.4,12.3,2.4,1.9,0.8,1.4,3.5,44.3,68,0,4.5
UTA,21,79,46,33,33.4,20.5,7.5,17.2,43.7,2.4,7.0,34.0,3.0,3.8,80.5,0.7,3.1,3.7,3.7,2.7,1.5,0.3,2.7,33.3,0,0,4.5
MIL,26,82,44,38,36.4,20.1,7.2,15.5,46.6,1.8,5.0,35.9,3.9,4.4,88.4,0.5,4.7,5.2,4.0,2.3,1.5,0.3,3.3,35.2,5,1,1.2
MEM,29,7,2,5,27.5,20.1,7.3,14.6,50.0,2.7,4.6,59.4,2.9,3.3,87.0,1.1,1.9,3.0,3.6,2.3,1.6,0.4,0.9,32.8,0,0,1.4
GSW,28,73,55,18,34.3,20.0,7.9,16.1,48.8,3.1,7.1,44.0,1.1,1.3,83.7,0.4,3.4,3.8,2.5,1.8,0.8,0.5,1.6,30.3,2,0,5.4
PHX,24,65,18,47,33.0,19.6,8.1,16.4,49.8,0.3,1.4,22.2,3.0,3.9,75.7,1.9,3.2,5.1,1.3,1.3,1.0,0.6,2.3,31.2,6,0,-6.6
WAS,27,41,23,18,34.4,19.4,6.8,16.3,42.0,1.5,4.1,37.1,4.3,5.9,72.6,0.5,3.1,3.7,9.6,3.9,1.4,1.1,2.0,41.8,19,0,3.1
MEM,28,52,19,33,30.9,19.4,7.0,15.6,45.2,2.2,5.5,39.9,3.2,4.0,78.5,0.8,4.3,5.1,5.2,2.3,1.1,0.3,1.8,35.3,7,0,0.5
ATL,24,67,21,46,31.0,19.4,7.5,17.1,43.6,1.1,3.9,29.0,3.4,4.0,84.9,0.7,2.4,3.1,6.2,2.7,1.1,0.1,2.2,33.2,5,0,-4.1
NOP,28,81,47,34,36.1,19.0,7.6,15.4,49.4,1.5,4.4,33.7,2.3,2.9,78.6,0.8,3.7,4.5,6.0,2.6,1.5,0.8,2.5,37.7,8,1,3.9
DAL,26,77,24,53,34.2,18.9,7.0,15.7,44.5,1.5,4.3,35.7,3.4,4.1,82.7,1.0,5.1,6.1,2.0,1.5,0.6,0.2,1.2,30.0,8,0,-4.2
HOU,33,58,50,8,31.8,18.6,6.3,13.8,46.0,2.5,6.5,38.0,3.5,3.8,91.9,0.6,4.8,5.4,7.9,2.2,1.7,0.2,2.4,40.4,14,1,8.6
LAC,25,80,39,41,33.3,18.6,7.0,15.3,46.0,2.3,5.6,41.1,2.2,2.7,82.9,0.7,4.7,5.5,2.4,1.3,0.9,0.4,2.1,31.4,3,0,-1.4
DEN,23,75,43,32,32.6,18.5,6.7,13.5,49.9,1.5,3.7,39.6,3.5,4.2,85.0,2.6,8.1,10.7,6.1,2.8,1.2,0.8,2.8,43.7,38,10,4.7
HOU,29,69,55,14,31.2,18.0,6.0,14.1,42.8,3.2,8.8,35.9,2.8,3.5,80.9,0.4,2.1,2.5,2.2,1.9,0.6,0.4,1.7,25.5,0,0,8.5
BKN,29,1,0,1,25.2,18.0,5.0,12.0,41.7,1.0,2.0,50.0,7.0,7.0,100,0.0,0.0,0.0,4.0,3.0,0.0,0.0,3.0,21.0,0,0,-6.0
ORL,25,57,20,37,32.2,17.8,6.5,14.1,45.9,2.2,5.9,37.9,2.6,3.0,86.7,0.4,2.8,3.2,2.9,1.7,0.8,0.3,2.4,27.6,0,0,-2.1
MIL,28,74,40,34,31.4,17.7,6.3,13.4,47.3,1.7,4.9,34.7,3.4,4.3,79.5,0.7,3.1,3.8,5.0,2.9,2.0,0.6,2.5,34.7,3,1,1.6
MIN,23,82,47,35,36.3,17.7,6.9,15.9,43.8,1.4,4.1,33.1,2.5,3.8,64.3,1.0,3.4,4.4,2.0,1.7,1.1,0.6,2.0,29.4,1,0,2.5
ORL,22,58,19,39,32.9,17.6,6.5,14.9,43.4,2.0,5.9,33.6,2.7,3.9,69.8,1.5,6.4,7.9,2.3,1.8,1.0,0.8,1.9,34.1,17,0,-1.6
CLE,29,59,37,22,28.0,17.6,5.7,12.4,45.8,2.3,5.6,41.5,4.0,4.5,88.0,1.7,7.5,9.3,1.7,1.5,0.7,0.4,2.0,33.2,31,0,1.3
