PLAYER,SALARY
'Terry Rozier',"$1,988,520"
'Luke Babbitt',"$1,974,159"
'John Collins',"$1,936,920"
'Shabazz Muhammad',"$1,924,755"
'Harry Giles',"$1,859,400"
'Troy Williams',"$1,842,176"
'Sam Dekker',"$1,794,600"
'Terrance Ferguson',"$1,785,000"
'Henry Ellenson',"$1,780,800"
'Eric Moreland',"$1,740,000"
'Jerian Grant',"$1,713,840"
'Jarrett Allen',"$1,713,720"
'Mike Scott',"$1,709,538"
'Jordan Crawford',"$1,709,538"
'Tyler Zeller',"$1,709,538"
'Quincy Acy',"$1,709,538"
'Malik Beasley',"$1,700,640"
'OG Anunoby',"$1,645,200"
'Delon Wright',"$1,645,200"
'Ante Zizic',"$1,645,200"
'Caris LeVert',"$1,632,480"
'Mike Dunleavy',"$1,600,000"
'Timothe Luwawu',"$1,594,590"
'Justin Anderson',"$1,579,440"
'Tyler Lydon',"$1,579,440"
'Ian Clark',"$1,577,230"
'DeAndre Bembry',"$1,567,200"
'Joffrey Lauvergne',"$1,524,305"
'Jerami Grant',"$1,524,305"
b""Johnny O'Bryant""","$1,524,305"
'Tyler Ennis',"$1,524,305"
'Glenn Robinson III',"$1,524,305"
'Julyan Stone',"$1,524,305"
'Spencer Dinwiddie',"$1,524,305"
'Joe Harris',"$1,524,305"
'Shane Larkin',"$1,524,305"
'Bobby Portis',"$1,516,320"
'DeAndre Liggins',"$1,505,942"
'Malachi Richardson',"$1,504,560"
'Chris McCullough',"$1,471,382"
'Raul Neto',"$1,471,382"
'Norman Powell',"$1,471,382"
'Pat Connaughton',"$1,471,382"
'T.J. McConnell',"$1,471,382"
'Richaun Holmes',"$1,471,382"
'Josh Huestis',"$1,471,382"
'Tyus Jones',"$1,471,382"
'Jordan Mickey',"$1,471,382"
'Josh Richardson',"$1,471,382"
'Jarell Martin',"$1,471,382"
'Montrezl Harrell',"$1,471,382"
'Joseph Young',"$1,471,382"
'Kevon Looney',"$1,471,382"
'Nikola Jokic',"$1,471,382"
'Salah Mejri',"$1,471,382"
'Larry Nance Jr.',"$1,471,382"
'Willie Reed',"$1,471,382"
'Tony Allen',"$1,471,382"
'Caleb Swanigan',"$1,465,920"
'Furkan Korkmaz',"$1,465,920"
'Okaro White',"$1,460,927"
'Rondae Hollis-Jefferson',"$1,455,720"
'Willy Hernangomez',"$1,435,750"
'Kyle Kuzma',"$1,423,560"
'Tony Bradley',"$1,414,920"
'Derrick White',"$1,404,600"
'Josh Hart',"$1,394,520"
'Gerald Green',"$1,381,403"
'Brice Johnson',"$1,331,160"
'Fred VanVleet',"$1,312,611"
'Pascal Siakam',"$1,312,611"
'Davis Bertans',"$1,312,611"
'Bryn Forbes',"$1,312,611"
'Dejounte Murray',"$1,312,611"
'Skal Labissiere',"$1,312,611"
'Jake Layman',"$1,312,611"
'Tyler Ulis',"$1,312,611"
'Chasson Randle',"$1,312,611"
'Cheick Diallo',"$1,312,611"
'Marcus Georges-Hunt',"$1,312,611"
'Malcolm Brogdon',"$1,312,611"
'AJ Hammons',"$1,312,611"
'Rodney McGruder',"$1,312,611"
'Wayne Selden',"$1,312,611"
'Andrew Harrison',"$1,312,611"
'Deyonta Davis',"$1,312,611"
'Ivica Zubac',"$1,312,611"
'Chinanu Onuaku',"$1,312,611"
'Damian Jones',"$1,312,611"
'Patrick McCaw',"$1,312,611"
'Yogi Ferrell',"$1,312,611"
'Dorian Finney-Smith',"$1,312,611"
'David Nwaba',"$1,312,611"
'Paul Zipser',"$1,312,611"
'Treveon Graham',"$1,312,611"
'Isaiah Whitehead',"$1,312,611"
'Sheldon Mac',"$1,312,611"
'Isaiah Taylor',"$1,312,611"
'Diamond Stone',"$1,312,611"
